index,title,url,text_length,tokens_processed,reward,processing_time_ms,timestamp,num_tokens
158,Wattisfield,https://en.wikipedia.org/?curid=20976663,3165,475,1.0,102.14424133300781,2025-11-15T13:35:08.068784,475
159,2023 Asian Shooting Championships,https://en.wikipedia.org/?curid=75125438,671,142,1.0,100.87728500366211,2025-11-15T13:35:08.169999,142
160,Neddie Seagoon,https://en.wikipedia.org/?curid=2899650,2969,534,1.0,101.90844535827637,2025-11-15T13:35:08.272317,534
161,Gianduja (commedia dell'arte),https://en.wikipedia.org/?curid=8663970,1178,335,1.0,101.10664367675781,2025-11-15T13:35:08.373784,335
162,"Hasanabad, Khalajestan",https://en.wikipedia.org/?curid=35145675,228,68,1.0,100.61907768249512,2025-11-15T13:35:08.474686,68
163,Thein Tun,https://en.wikipedia.org/?curid=37280364,460,112,1.0,100.91781616210938,2025-11-15T13:35:08.575946,112
164,WFRM,https://en.wikipedia.org/?curid=8735668,3688,497,1.0,101.65524482727051,2025-11-15T13:35:08.677844,497
165,Crown Prince Frederik Land,https://en.wikipedia.org/?curid=75720319,671,167,1.0,101.08709335327148,2025-11-15T13:35:08.779203,167
166,Kongsi Raya (film),https://en.wikipedia.org/?curid=69972620,2159,495,1.0,102.0355224609375,2025-11-15T13:35:08.881548,495
167,National Institute of Infectious Diseases,https://en.wikipedia.org/?curid=64520361,363,90,1.0,100.69727897644043,2025-11-15T13:35:08.982612,90
168,Pamplonita River,https://en.wikipedia.org/?curid=7587848,7665,493,1.0,104.02965545654297,2025-11-15T13:35:09.087063,493
169,"George Tuchet, 1st Earl of Castlehaven",https://en.wikipedia.org/?curid=299215,2512,533,1.0,103.34157943725586,2025-11-15T13:35:09.191520,533
170,Ramona Badescu (author),https://en.wikipedia.org/?curid=44211469,1380,359,1.0,103.64770889282227,2025-11-15T13:35:09.295882,359
171,Annah Mac,https://en.wikipedia.org/?curid=36156465,1795,398,1.0,101.69744491577148,2025-11-15T13:35:09.398039,398
172,"Jan Jeřábek (footballer, born 1992)",https://en.wikipedia.org/?curid=37598546,256,66,1.0,100.82769393920898,2025-11-15T13:35:09.499329,66
173,Cyril Fagan,https://en.wikipedia.org/?curid=4635392,808,211,1.0,102.34999656677246,2025-11-15T13:35:09.602023,211
174,List of lighthouses in Friesland,https://en.wikipedia.org/?curid=14070471,319,87,1.0,101.68933868408203,2025-11-15T13:35:09.704463,87
175,Golf Club Halt railway station (England),https://en.wikipedia.org/?curid=13181099,286,69,1.0,101.36580467224121,2025-11-15T13:35:09.806176,69
